"CLI_NUM";"CLI_INTITULE";"CLI_SIRET";"CLI_IDENTIFIANT"
"DSLRACING";"GARAGE DSL RACING";82338825100014;"FR13823388251  "
"ROCADEEXPRESSAUTO";"ROCADE EXPRESS AUTO";44917215400014;"FR40449172154  "
"SNGARAGETECKNIFA";"SN GARAGE TECKFINA";53413644500010;"FR96534136445  "
"QUICKAUTO";"QUICK AUTO";51981679700012;"FR27519816797  "
"CLERYLOCATIONS";"CLERY LOCATIONS";81132091000011;"FR39811320910  "
"CENTREENTRETIENAU";"CENTRE D' ENTRETIEN AUTO'S";80308135500023;"FR78803081355  "
"JCS";"JRT CENTRE SERVICE";82537483800019;"FR94825374838  "
"STMARTINCARS";"ST MARTIN CARS";42269123800014;"FR01422691238 "
"APA";"ASIA PIECES AUTO";80264308000012;"FR88802643080  "
"EDOUARDBONHEUR";"EDOUARD BONHEUR";51381935900011;"FR49513819359  "
"POUIDI";"GARAGE POUI DI";53979116000010;"FR08539791160  "
"DMICY";"DMICY";48255632100024;"FR41482556321  "
"GSA";"GUADELOUPE SERVICES AUTOMOBILES";30715820400023;"FR38307158204  "
"SACISXM";"SACI SAINT MARTIN";32896066100028;"FR18328960661  "
"HDJPNEUS";"HDJ PNEUS";75270218300019;"FR08752702183  "
"RAPIDPAREBRISE";"RUN PARE BRISE";82280657600010;"FR18822806576  "
"AOSERVICE";"GARAGE OLTRA AO SERVICE";48218234200022;"FR06482182342  "
"CENTREAUTOSPORT";"CENTRE AUTO SPORT SAINT-DENIS";81365536200016;"FR92813655362  "
"MONDIALPAREBRISE";"MONDIAL PARE BRISE GUYANE";51341950700019;"FR92513419507  "
"BICHET";"BICHET DISTRIBUTION";80772056000018;"FR36807720560  "
"2RPIECESAUTOS";"2R PIECES AUTOS";52789457000011;"FR30527894570  "
"LABOAUTO";"LABO AUTO";44913175400011;"FR90449131754 "
"CHECKAUTO";"CHECK AUTO";75116168800013;"FR88751161688  "
"SACAFF";"SACAFF";32045993600037;"FR16320459936  "
"AUTORENOV";"AUTO RENOV'";51482207100015;"FR21514822071  "
"CLIMCAR";"CLIMCAR";82816277600011;"FR83828162776  "
"SIXT";"SIXT / FIRST LOCATION PTP";47785660300022;"FR31477856603  "
"SERVICEAUTOPRO";"SERVICE AUTO PRO";44811059300010;"FR61448110593  "
"AUTOPREMIUMSERVIC";"AUTO PREMIUM SERVICES";80409642800011;"FR79804096428  "
"MLAUTOMOBILES";"ML AUTOMOBILES";80456803800017;"FR67804568038  "
